"Defunciones mensuales de la C.A. de Euskadi por grandes grupos CIE-10, mes, tramo edad cumplida, sexo y periodo"

"grandes grupos CIE-10","mes","tramo edad cumplida","sexo","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Abril","20 - 29","Hombres",0,0,0,1,0,0,0,0,1,0,1,0,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Abril","20 - 29","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Abril","30 - 39","Hombres",0,0,0,1,1,0,1,0,0,0,0,0,0,1
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Abril","30 - 39","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Abril","40 - 49","Hombres",1,2,1,1,0,2,0,0,0,1,0,0,2,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Abril","40 - 49","Mujeres",1,0,2,0,0,0,1,1,1,0,0,0,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Abril","50 - 59","Hombres",0,2,2,1,3,2,6,0,5,0,0,1,0,1
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Abril","50 - 59","Mujeres",1,1,1,0,1,0,0,0,1,0,1,1,2,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Abril","60 - 69","Hombres",0,3,1,2,2,1,1,2,2,0,0,0,2,2
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Abril","60 - 69","Mujeres",1,2,2,1,2,2,0,1,1,0,1,0,0,2
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Abril","70 - 79","Hombres",4,1,3,3,2,1,2,1,2,1,2,3,5,1
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Abril","70 - 79","Mujeres",2,1,1,1,2,1,0,0,0,2,1,1,1,2
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Abril","80 - 89","Hombres",3,5,1,3,4,7,6,5,6,3,3,3,3,5
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Abril","80 - 89","Mujeres",4,2,5,4,7,3,5,5,3,9,3,3,4,6
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Abril",">= 90","Hombres",0,0,3,0,1,1,4,6,1,3,3,2,2,3
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Abril",">= 90","Mujeres",1,3,8,3,3,5,4,8,5,7,8,3,9,12
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Mayo","0","Hombres",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Mayo","0","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Mayo","1 - 9","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Mayo","1 - 9","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Mayo","10 - 19","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Mayo","10 - 19","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Mayo","20 - 29","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Mayo","20 - 29","Mujeres",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Mayo","30 - 39","Hombres",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Mayo","30 - 39","Mujeres",0,1,1,0,1,0,0,0,0,0,0,0,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Mayo","40 - 49","Hombres",2,1,0,1,0,1,0,0,1,0,1,1,0,1
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Mayo","40 - 49","Mujeres",1,2,0,0,0,0,0,0,0,1,0,0,0,1
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Mayo","50 - 59","Hombres",0,2,0,0,1,4,0,2,2,0,1,0,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Mayo","50 - 59","Mujeres",0,0,0,1,0,0,0,0,0,0,0,0,0,2
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Mayo","60 - 69","Hombres",1,2,3,0,2,0,1,2,0,1,2,0,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Mayo","60 - 69","Mujeres",2,2,3,0,1,1,0,0,0,1,1,0,2,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Mayo","70 - 79","Hombres",2,5,3,1,4,6,4,3,3,2,0,2,2,2
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Mayo","70 - 79","Mujeres",2,2,2,2,3,2,2,3,1,2,2,2,2,1
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Mayo","80 - 89","Hombres",5,5,3,4,5,5,6,6,5,10,5,2,3,3
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Mayo","80 - 89","Mujeres",6,2,6,3,6,4,4,5,5,3,0,4,4,7
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Mayo",">= 90","Hombres",1,0,2,1,0,2,3,3,2,1,1,4,4,2
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Mayo",">= 90","Mujeres",4,0,3,3,0,1,2,6,3,3,5,3,7,7
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Junio","0","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Junio","0","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Junio","1 - 9","Hombres",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Junio","1 - 9","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Junio","10 - 19","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Junio","10 - 19","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Junio","20 - 29","Hombres",0,0,0,0,0,0,1,0,0,0,1,0,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Junio","20 - 29","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Junio","30 - 39","Hombres",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Junio","30 - 39","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Junio","40 - 49","Hombres",2,2,1,1,0,2,0,0,1,0,1,0,0,1
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Junio","40 - 49","Mujeres",0,1,0,0,0,0,0,1,0,1,0,0,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Junio","50 - 59","Hombres",1,0,0,3,2,2,2,1,0,1,0,1,1,1
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Junio","50 - 59","Mujeres",0,0,0,1,0,0,0,1,0,3,0,0,1,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Junio","60 - 69","Hombres",3,1,2,2,1,2,2,2,1,2,1,2,3,4
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Junio","60 - 69","Mujeres",0,0,1,0,1,2,1,1,0,1,2,0,1,3
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Junio","70 - 79","Hombres",1,3,4,3,2,3,4,6,2,3,1,4,3,4
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Junio","70 - 79","Mujeres",1,2,1,1,2,4,3,3,0,1,0,2,1,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Junio","80 - 89","Hombres",6,8,2,2,3,8,3,4,5,2,3,7,4,9
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Junio","80 - 89","Mujeres",2,6,4,5,6,4,3,5,3,2,7,2,2,4
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Junio",">= 90","Hombres",0,0,2,0,2,1,2,4,3,4,0,2,1,4
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Junio",">= 90","Mujeres",2,1,8,4,4,3,3,7,2,3,0,8,5,5
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Julio","0","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Julio","0","Mujeres",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Julio","1 - 9","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Julio","1 - 9","Mujeres",0,0,0,0,0,1,0,0,0,0,1,0,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Julio","10 - 19","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Julio","10 - 19","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Julio","20 - 29","Hombres",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Julio","20 - 29","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Julio","30 - 39","Hombres",1,1,1,0,0,0,0,0,0,0,0,0,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Julio","30 - 39","Mujeres",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Julio","40 - 49","Hombres",2,0,1,1,3,0,0,0,0,0,0,0,0,1
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Julio","40 - 49","Mujeres",1,1,1,0,1,1,0,0,0,0,0,1,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Julio","50 - 59","Hombres",4,1,2,0,4,0,1,0,0,0,0,1,1,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Julio","50 - 59","Mujeres",0,0,0,0,0,0,0,3,0,0,1,1,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Julio","60 - 69","Hombres",1,0,0,3,1,1,1,3,1,1,1,1,2,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Julio","60 - 69","Mujeres",0,0,0,0,1,0,3,0,1,2,1,0,1,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Julio","70 - 79","Hombres",3,2,1,1,2,3,2,3,4,2,3,4,3,2
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Julio","70 - 79","Mujeres",1,3,1,2,0,2,1,0,2,0,1,3,3,1
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Julio","80 - 89","Hombres",2,5,3,4,7,10,9,0,4,6,7,6,3,6
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Julio","80 - 89","Mujeres",6,8,5,6,6,8,9,8,6,4,6,4,3,5
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Julio",">= 90","Hombres",0,1,1,0,2,2,0,1,2,4,3,1,2,1
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Julio",">= 90","Mujeres",3,4,4,4,4,6,2,7,4,5,5,6,10,3
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Agosto","0","Hombres",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Agosto","0","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Agosto","1 - 9","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Agosto","1 - 9","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Agosto","10 - 19","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Agosto","10 - 19","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Agosto","20 - 29","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Agosto","20 - 29","Mujeres",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Agosto","30 - 39","Hombres",1,0,1,1,0,0,0,0,0,0,1,1,1,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Agosto","30 - 39","Mujeres",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Agosto","40 - 49","Hombres",2,0,2,3,0,2,0,0,0,0,1,0,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Agosto","40 - 49","Mujeres",0,0,2,1,1,0,0,0,0,1,0,1,1,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Agosto","50 - 59","Hombres",1,2,1,3,3,2,3,4,0,2,0,1,0,1
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Agosto","50 - 59","Mujeres",0,0,1,2,0,0,1,0,0,0,0,0,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Agosto","60 - 69","Hombres",1,1,0,1,2,2,1,4,1,4,0,4,3,2
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Agosto","60 - 69","Mujeres",0,0,0,1,0,1,2,1,2,2,0,0,1,1
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Agosto","70 - 79","Hombres",3,2,2,2,4,3,5,0,1,1,3,4,1,1
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Agosto","70 - 79","Mujeres",1,1,1,2,3,2,2,6,0,4,1,2,3,2
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Agosto","80 - 89","Hombres",5,2,8,6,2,10,2,4,2,4,4,3,5,7
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Agosto","80 - 89","Mujeres",6,8,3,3,7,7,6,2,4,5,6,9,6,11
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Agosto",">= 90","Hombres",3,0,1,1,1,1,3,1,2,2,1,2,3,3
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Agosto",">= 90","Mujeres",1,0,3,1,5,3,8,3,1,6,5,3,8,7
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Septiembre","0","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Septiembre","0","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Septiembre","1 - 9","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
